1::F::1::10::4.188679245283019::0.6745118087441312::['Drama', "Children's", 'Animation', 'Comedy', 'Musical']::['2294', '783', '1566', '1907', '48']::['1566', '1907', '48']
2::M::56::16::3.7131782945736433::0.9976235207438112::['Drama', 'Action', 'Thriller', 'Comedy', 'Romance']::['95', '1687', '434', '1544', '1917']::['736', '2002', '1544']
3::M::25::15::3.9019607843137254::0.9752807933683051::['Comedy', 'Adventure', 'Action', 'Drama', 'Western']::['2355', '3552', '104', '3868', '2081']::['3552', '104', '2081']
4::M::45::7::4.190476190476191::1.051939144494025::['Action', 'Sci-Fi', 'Adventure', 'Drama', 'Thriller']::['3702', '1240', '2951', '1036', '1954']::['2951', '1036', '1954']
5::M::25::20::3.1464646464646466::1.1298353443381848::['Drama', 'Comedy', 'Thriller', 'Action', 'Romance']::['2029', '1485', '3105', '1884', '288']::['2427', '551', '2029']
6::F::50::9::3.9014084507042255::0.8248760824983845::['Romance', 'Comedy', 'Drama', 'Musical', "Children's"]::['3565', '3717', '920', '1569', '597']::['920', '1569', '597']
7::M::35::1::4.32258064516129::0.7355970484510568::['Action', 'Thriller', 'Sci-Fi', 'Adventure', 'Drama']::['1573', '1722', '3256', '349', '3107']::['1722', '3256', '349']
8::M::25::12::3.884892086330935::0.9219867248115556::['Drama', 'Action', 'Romance', 'Thriller', 'Comedy']::['3213', '1274', '1', '741', '3257']::['1274', '1', '741']
9::M::25::17::3.7358490566037736::0.8161331605238559::['Drama', 'Comedy', 'Thriller', 'Action', 'Romance']::['1356', '861', '2278', '367', '2294']::['1653', '2278', '2294']
10::F::35::1::4.114713216957606::0.8366945891191254::['Comedy', 'Drama', 'Action', 'Sci-Fi', 'Adventure']::['1704', '1283', '2693', '1221', '2252']::['1704', '2693', '2252']
11::F::25::1::3.2773722627737225::1.3439777924786933::['Comedy', 'Drama', 'Romance', 'Thriller', 'Action']::['2306', '2907', '3146', '2076', '3182']::['216', '88', '2076']
12::M::25::12::3.8260869565217392::1.0895620944471014::['Drama', 'Comedy', 'Crime', 'Action', 'Adventure']::['1247', '1252', '2804', '923', '3362']::['3658', '2804', '923']
13::M::45::1::3.388888888888889::0.7915448249319451::['Adventure', 'Action', 'Sci-Fi', 'Drama', 'Thriller']::['2', '2641', '1009', '1375', '2822']::['2370', '2046', '421']
14::M::35::0::3.32::1.3775340286178053::['Drama', 'Comedy', 'Romance', 'Horror', 'Action']::['296', '608', '1263', '2731', '1225']::['1263', '2731', '1225']
15::M::25::7::3.3233830845771144::0.8225070868828882::['Drama', 'Thriller', 'Comedy', 'Action', 'Crime']::['2161', '2640', '2115', '3755', '3510']::['3461', '2115', '3510']
16::F::35::0::3.0285714285714285::1.2302314366634846::['Comedy', 'Romance', 'Action', 'Adventure', 'Sci-Fi']::['2394', '2485', '2724', '2987', '2701']::['2581', '2394', '2724']
17::M::50::1::4.075829383886256::0.8110222028675729::['Sci-Fi', 'Drama', 'Action', 'Thriller', 'Adventure']::['2533', '164', '1601', '1617', '707']::['164', '1617', '707']
18::F::18::3::3.6491803278688524::1.3591973222915361::['Action', 'Drama', 'Adventure', 'Comedy', "Children's"]::['838', '26', '266', '454', '1683']::['838', '26', '1683']
19::M::1::10::3.5652173913043477::1.0819648227378773::['Action', 'Comedy', 'Horror', 'Sci-Fi', 'Thriller']::['223', '3889', '1275', '405', '1431']::['3948', '223', '1275']
20::M::25::14::4.384615384615385::0.624926031125843::['Action', 'Thriller', 'Crime', 'Drama', 'Sci-Fi']::['1912', '2571', '457', '110', '1923']::['457', '110', '1923']
21::M::18::16::2.909090909090909::1.378704626191191::['Animation', "Children's", 'Comedy', 'Action', 'Sci-Fi']::['3745', '596', '2294', '2394', '2800']::['3000', '3745', '2800']
22::M::18::15::3.0673400673400675::1.012802224342769::['Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Drama']::['3698', '1034', '3896', '908', '910']::['1034', '908', '910']
23::M::35::0::3.3225806451612905::1.0070855461477923::['Sci-Fi', 'Thriller', 'Action', 'Comedy', 'Drama']::['659', '3510', '911', '2176', '3256']::['377', '3510', '911']
24::F::25::7::3.948529411764706::0.8253328467706088::['Comedy', 'Drama', 'Romance', 'Action', 'Adventure']::['1635', '425', '2757', '1959', '2657']::['2757', '1959', '2657']
25::M::18::4::3.7411764705882353::1.09708642135292::['Action', 'Sci-Fi', 'Comedy', 'Adventure', 'Drama']::['2541', '3175', '3174', '3745', '3798']::['2541', '3174', '3745']
26::M::25::7::2.96::1.031212878119741::['Comedy', 'Drama', 'Romance', 'Action', 'Thriller']::['185', '3247', '2262', '1784', '2683']::['1457', '2262', '1784']
27::M::25::11::4.171428571428572::1.170731499917021::['Drama', 'Comedy', 'Film-Noir', 'Romance', 'Adventure']::['926', '1254', '1262', '1198', '1204']::['1262', '1198', '1204']
28::F::25::1::3.7570093457943927::0.8520576687881476::['Drama', 'Comedy', 'Romance', 'Thriller', 'Action']::['916', '527', '912', '1', '2132']::['527', '912', '2132']
29::M::35::7::3.5833333333333335::1.0463782334354086::['Action', 'Thriller', 'Adventure', 'Sci-Fi', 'Drama']::['3836', '3633', '494', '2617', '2550']::['733', '3836', '3633']
30::F::35::7::3.488372093023256::0.9244003215977575::['Drama', 'Comedy', 'Thriller', 'Romance', 'Crime']::['589', '1265', '1216', '3949', '3554']::['1216', '3949', '3554']
31::M::56::7::3.73109243697479::1.018298787206798::['Comedy', 'Romance', 'Drama', 'Action', 'Adventure']::['3247', '3524', '3450', '1958', '1485']::['3341', '3247', '3524']
32::F::25::0::3.625::0.9921567416492215::['Thriller', 'Drama', 'Comedy', 'Romance', 'Action']::['1343', '2707', '2916', '1834', '3286']::['589', '474', '3147']
33::M::45::3::3.498721227621483::1.0236954278180488::['Drama', 'Thriller', 'Comedy', 'Action', 'Horror']::['1095', '3398', '2124', '230', '2746']::['2554', '1729', '1339']
34::F::18::0::3.8658536585365852::1.050693094383025::['Comedy', 'Romance', 'Drama', 'Thriller', 'Action']::['3269', '2888', '1888', '2485', '3257']::['2888', '2485', '3257']
35::M::45::1::3.54040404040404::1.0473071956230786::['Drama', 'Comedy', 'Romance', 'Musical', 'Action']::['3703', '2947', '910', '3088', '1162']::['3703', '910', '3088']
36::M::25::3::4.204301075268817::0.7791062766768527::['Comedy', 'Drama', 'Thriller', 'Action', 'Sci-Fi']::['165', '2334', '1722', '3408', '1911']::['1722', '3408', '1911']
37::F::25::9::3.69811320754717::1.4482898915015459::['Romance', 'Comedy', 'Action', 'Drama', 'Musical']::['587', '597', '1380', '788', '1088']::['597', '1380', '1088']
38::F::18::4::3.58::0.8146164741766521::['Romance', 'Comedy', 'Drama', "Children's", 'Thriller']::['13', '455', '1380', '3948', '296']::['2082', '1380', '3948']
39::M::18::4::3.564516129032258::1.239419319576653::['Comedy', 'Drama', 'Thriller', 'Action', 'Romance']::['3114', '2763', '3745', '3793', '86']::['2763', '3793', '86']
40::M::45::0::3.4479166666666665::1.1261086358439054::['Adventure', 'Action', 'War', 'Sci-Fi', 'Drama']::['2815', '2402', '466', '2816', '2817']::['161', '780', '466']
41::F::18::4::3.48::1.5522886329545806::['Drama', 'Romance', 'Action', 'Sci-Fi', 'Thriller']::['2546', '3578', '2719', '2762', '1643']::['2719', '2762', '1643']
42::M::25::8::3.74025974025974::0.7628142937968012::['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Thriller']::['2144', '3087', '2003', '2111', '2371']::['3087', '2111', '2371']
43::M::25::12::4.125::0.9270248108869579::['Comedy', 'Romance', 'Drama', 'Thriller', 'Action']::['2961', '3114', '2763', '3793', '2858']::['3114', '3793', '2858']
44::M::45::17::3.9145299145299144::1.2579501000569644::['Comedy', 'Sci-Fi', 'Adventure', 'Action', "Children's"]::['2762', '968', '1243', '2846', '2321']::['2762', '2846', '2321']
45::F::45::16::2.946127946127946::1.1148493385219604::['Comedy', 'Romance', 'Drama', "Children's", 'Adventure']::['3258', '2849', '2356', '2473', '355']::['3450', '1014', '2473']
